Sample ID,Latitude,Longitude,mtDNA Ance,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,mtDNA
S16-1385,39.2206,-122.0175,native SVRF,79.86005663,SacramentoValley,631.78,421.85,0.794121461,1
S16-6031,39.1681,-122.1509,native SVRF,80.67268931,SacramentoValley,631.78,421.85,0.79540772,1
S14-2922,39.2368,-121.9944,native SVRF,80.69019193,SacramentoValley,631.78,421.85,0.795435424,1
S15-1608,39.2305,-122.0231,native SVRF,81.06056113,SacramentoValley,631.78,421.85,0.796021655,1
S15-0553,39.3393,-121.6856,native SVRF,83.41701192,SacramentoValley,631.78,421.85,0.799751515,1
S16-0036,39.1888,-122.1685,native SVRF,83.42839905,SacramentoValley,631.78,421.85,0.799769539,1
S13-3555,39.4512,-121.6536,native SVRF,95.20237869,SacramentoValley,631.78,421.85,0.81840574,1
S13-3557,39.4517,-121.6494,native SVRF,95.20678973,SacramentoValley,631.78,421.85,0.818412722,1
S15-0002,39.3777,-122.0201,native SVRF,96.03435324,SacramentoValley,631.78,421.85,0.819722614,1
S18-2042,39.4731,-121.6087,native SVRF,97.15197274,SacramentoValley,631.78,421.85,0.821491615,1
S18-2199,39.3828,-122.1928,native SVRF,102.7528034,SacramentoValley,631.78,421.85,0.830356775,1
S18-2198,39.383,-122.1928,native SVRF,102.7723241,SacramentoValley,631.78,421.85,0.830387673,1
S18-2202,39.4601,-121.9927,native SVRF,103.902638,SacramentoValley,631.78,421.85,0.832176767,1
S17-7259,39.4254,-122.1924,native SVRF,106.9186024,SacramentoValley,631.78,421.85,0.836950525,1
S18-2200,39.4278,-122.1925,native SVRF,107.1595086,SacramentoValley,631.78,421.85,0.837331838,1
S18-2201,39.4296,-122.1927,native SVRF,107.3451768,SacramentoValley,631.78,421.85,0.837625719,1
S17-2549,39.4298,-122.1928,native SVRF,107.3688643,SacramentoValley,631.78,421.85,0.837663212,1
S17-2550,39.4298,-122.1929,native SVRF,107.3727919,SacramentoValley,631.78,421.85,0.837669429,1
S17-7258,39.495,-122.1932,native SVRF,113.873414,SacramentoValley,631.78,421.85,0.847958805,1
S14-0323,39.6038,-121.7841,native SVRF,113.971557,SacramentoValley,631.78,421.85,0.848114149,1
S15-3137,39.4989,-122.199,native SVRF,114.4792907,SacramentoValley,631.78,421.85,0.848917805,1
S16-1355,39.5509,-122.0348,native SVRF,114.6078996,SacramentoValley,631.78,421.85,0.849121371,1
S09-0392,39.5543,-122.084,native SVRF,116.3328119,SacramentoValley,631.78,421.85,0.851851613,1
S14-0892,39.5242,-122.193,native SVRF,116.8008423,SacramentoValley,631.78,421.85,0.852592425,1
S13-2547,39.5531,-122.1092,native SVRF,116.9616006,SacramentoValley,631.78,421.85,0.852846878,1
S10-0475,39.5824,-122.0275,native SVRF,117.606972,SacramentoValley,631.78,421.85,0.853868391,1
S09-0102,39.534,-122.1898,native SVRF,117.6752751,SacramentoValley,631.78,421.85,0.853976503,1
S09-0486,39.5537,-122.1369,native SVRF,117.8933024,SacramentoValley,631.78,421.85,0.854321603,1
S09-0111,39.5697,-122.0831,native SVRF,117.9166287,SacramentoValley,631.78,421.85,0.854358525,1
S09-0273,39.5462,-122.165,native SVRF,118.0525772,SacramentoValley,631.78,421.85,0.854573708,1
S10-0170,39.5824,-122.04,native SVRF,118.0751647,SacramentoValley,631.78,421.85,0.85460946,1
S09-0232,39.5335,-122.2028,native SVRF,118.0920655,SacramentoValley,631.78,421.85,0.854636211,1
S10-0265,39.5335,-122.2028,native SVRF,118.0920655,SacramentoValley,631.78,421.85,0.854636211,1
S10-0453,39.5732,-122.0849,native SVRF,118.3345694,SacramentoValley,631.78,421.85,0.855020053,1
S16-1381,39.6467,-121.7875,native SVRF,118.6898897,SacramentoValley,631.78,421.85,0.855582465,1
S09-0357,39.5763,-122.0931,native SVRF,118.895835,SacramentoValley,631.78,421.85,0.855908441,1
S15-0931,39.6508,-121.7899,nonnative,119.1779155,SacramentoValley,631.78,421.85,0.856354927,0
S16-1382,39.6513,-121.7904,native SVRF,119.241137,SacramentoValley,631.78,421.85,0.856454995,1
S15-0830,39.6522,-121.79,nonnative,119.331749,SacramentoValley,631.78,421.85,0.856598419,0
S16-1645,39.5828,-122.0968,native SVRF,119.6825425,SacramentoValley,631.78,421.85,0.857153665,1
S16-1646,39.5828,-122.0968,native SVRF,119.6825425,SacramentoValley,631.78,421.85,0.857153665,1
S16-1633,39.5829,-122.0981,native SVRF,119.7309252,SacramentoValley,631.78,421.85,0.857230247,1
S17-2548,39.6317,-121.9099,nonnative,120.3325673,SacramentoValley,631.78,421.85,0.858182544,0
S15-0815,39.6743,-121.7799,native SVRF,121.4803256,SacramentoValley,631.78,421.85,0.859999249,1
S16-1340,39.5932,-122.1934,native SVRF,123.8104435,SacramentoValley,631.78,421.85,0.863687428,1
S10-0281,39.6856,-122.2049,native SVRF,133.6587595,SacramentoValley,631.78,421.85,0.879275633,1
S15-0819,39.7342,-122.1593,native SVRF,137.3162589,SacramentoValley,631.78,421.85,0.885064831,1
S15-0028,39.7792,-122.0628,nonnative,139.4062862,SacramentoValley,631.78,421.85,0.888372988,0
S10-0200,39.8112,-121.9351,native SVRF,140.2898463,SacramentoValley,631.78,421.85,0.889771513,1
S10-0201,39.8112,-121.9351,native SVRF,140.2898463,SacramentoValley,631.78,421.85,0.889771513,1
S10-0481,39.8122,-121.9623,native SVRF,140.8698141,SacramentoValley,631.78,421.85,0.890689503,1
S10-0483,39.8122,-121.9623,native SVRF,140.8698141,SacramentoValley,631.78,421.85,0.890689503,1
S09-0809,39.762,-122.2348,native SVRF,142.4864024,SacramentoValley,631.78,421.85,0.893248286,1
S10-0348,39.7695,-122.2354,native SVRF,143.2794507,SacramentoValley,631.78,421.85,0.894503547,1
S10-0349,39.7695,-122.2354,native SVRF,143.2794507,SacramentoValley,631.78,421.85,0.894503547,1
S18-2044,39.8528,-121.9193,nonnative,144.5752358,SacramentoValley,631.78,421.85,0.896554554,0
S09-0614,39.7894,-122.2299,native SVRF,145.1662885,SacramentoValley,631.78,421.85,0.897490089,1
S15-1661,39.8661,-122.0782,native SVRF,149.0513076,SacramentoValley,631.78,421.85,0.903639412,1
S09-0255,39.8711,-122.1724,native SVRF,152.06561,SacramentoValley,631.78,421.85,0.908410538,1
S09-0256,39.8711,-122.1724,native SVRF,152.06561,SacramentoValley,631.78,421.85,0.908410538,1
S10-0209,39.8711,-122.1724,native SVRF,152.06561,SacramentoValley,631.78,421.85,0.908410538,1
S10-0210,39.8711,-122.1724,native SVRF,152.06561,SacramentoValley,631.78,421.85,0.908410538,1
S15-0038,39.8823,-122.1918,native SVRF,153.7676214,SacramentoValley,631.78,421.85,0.911104532,1
